title,targets,authors
Sparse Binary Matrices of LDPC Codes for Compressed Sensing,CS image reconstruction by novel small length LDPC code,"Weizhi Lu,Kidiyo Kpalma,Joseph Ronsin",""
Coherent continuous-phase frequency-shift keying: Parameter optimization and code design,Iterative Multisymbol Noncoherent Reception of Coded CPFSK,"Shi Cheng,Matthew C. Valenti,Don J. Torrieri","Matthew C. Valenti,Shi Cheng,Don J. Torrieri"
Peer-reviewed Technical Communication Multicarrier Communication over Underwater Acoustic Channels with Nonuniform Doppler Shifts,Experimental Evaluation of Zp-ofdm Scheme in Time Varying Underwater Multipath Channel,"Baosheng Li,Shengli Zhou,Milica Stojanovic,Lee Freitag,Peter Willett,Mitra B Li,S Zhou,P Willett,M Stojanovic","Rehan Khan,Qiao Gang,Asim Ismail"
Quasi-Cyclic LDPC Codes: Influence of Proto- and Tanner-Graph Structure on Minimum Hamming Distance Upper Bounds,Rate-Compatible Protograph-based LDPC Codes for Inter-Symbol Interference Channels,"Roxana Smarandache,Pascal O. Vontobel","Thuy Van Nguyen,Aria Nosratinia,Dariush Divsalar"
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Error correcting codes and spatial coupling,"Erdal Arikan","Rafah El-Khatib,Jean Barbier,Ayaka Sakata,Rüdiger L. Urbanke"
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Erasure schemes using generalized polar codes: Zero-undetected-error capacity and performance trade-offs,"Erdal Arikan","Rajai Nasser"
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Polarization for arbitrary discrete memoryless channels,"Erdal Arikan","Eren Sasoglu,Emre Telatar,Erdal Arikan"
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Capacity-Achieving Rate-Compatible Polar Codes,"Erdal Arikan","Song-Nam Hong,Dennis Hui,Ivana Maric"
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Coded Modulation for Fiber-Optic Networks,"Erdal Arikan","Erik Agrell,Joseph M. Kahn,Magnus Karlsson"
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,A Parallel Decoding Algorithm for Short Polar Codes Based on Error Checking and Correcting,"Erdal Arikan","Yingxian Zhang,Xiaofei Pan,Kegang Pan,Zhan Ye,Chao Gong"
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Capacity-Achieving Rateless Polar Codes,"Erdal Arikan","Bin Li,David Tse,Kai Chen,Hui Shen"
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Exponents of polar codes using algebraic geometric code kernels,"Erdal Arikan","Sarah E. Anderson,Gretchen L. Matthews"
