id,value
PloS one,4556
ArXiv,1744
Scientific reports,1004
The Journal of neuroscience : the official journal of the Society for Neuroscience,674
Brain research,464
Science,440
Proceedings of the National Academy of Sciences of the United States of America,403
Neuroscience letters,390
Acta crystallographica. Section E, Structure reports online,389
Investigative ophthalmology & visual science,380
ICASSP,370
Neuroscience,352
Current Biology,345
NeuroImage,335
Nucleic acids research,317
Neurology,312
Journal of neurophysiology,300
Bioinformatics,289
BioMed research international,283
Sensors,268
The Journal of biological chemistry,267
ICIP,251
Physical review. E, Statistical, nonlinear, and soft matter physics,250
BMC public health,249
Nature communications,248
Journal of neurochemistry,244
The European journal of neuroscience,244
British journal of cancer,242
Oncotarget,241
INTERSPEECH,240
International journal of molecular sciences,239
Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,230
Neuron,224
Cell,222
Emerging infectious diseases,221
Journal of neurosurgery,213
Physical review letters,213
Behavioural brain research,212
TheScientificWorldJournal,208
Molecules,201
ICRA,200
Psychiatry research,197
The Journal of cell biology,196
AJNR. American journal of neuroradiology,186
BMJ open,182
Neuroreport,180
IACR Cryptology ePrint Archive,178
ICC,178
CVPR,174
The Journal of experimental medicine,173
Neurosurgery,172
Winter Simulation Conference,164
IROS,157
The Journal of the Acoustical Society of America,157
SAC,156
PLoS genetics,154
PLoS pathogens,154
The Journal of comparative neurology,154
Environmental health perspectives,151
Magnetic resonance in medicine,150
Front. Psychol.,149
CHI Extended Abstracts,146
EUSIPCO,146
Lancet,146
BMC Bioinformatics,144
GECCO,144
Neuropsychologia,144
Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,143
Physiology & behavior,143
GLOBECOM,141
Critical care,140
Journal of the neurological sciences,139
PLoS neglected tropical diseases,138
Evidence-based complementary and alternative medicine : eCAM,137
Molecular and cellular endocrinology,135
IEEE Trans. Information Theory,134
Journal of neuroscience research,134
CHI,133
Neuropharmacology,133
The Journal of physiology,133
Journal of vision,132
Pain,132
Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,131
Journal of neuroscience methods,131
ICPR,128
NIPS,128
Vision Research,128
Genome announcements,127
IEEE Trans. Image Processing,127
Commun. ACM,125
Psychological reports,125
IEEE Trans. Signal Processing,124
International journal of environmental research and public health,124
Medicine,124
Experimental brain research,122
Schizophrenia research,121
BMC infectious diseases,120
Experimental neurology,120
HICSS,120
